Year,Month,Decimal_date,Semihemispheric_modelled_mole_fractions_box0,Semihemispheric_modelled_mole_fractions_box1,Semihemispheric_modelled_mole_fractions_box2,Semihemispheric_modelled_mole_fractions_box3,Semihemispheric_modelled_mole_fractions_box4,Semihemispheric_modelled_mole_fractions_box5,Semihemispheric_modelled_mole_fractions_box6,Semihemispheric_modelled_mole_fractions_box7,Semihemispheric_modelled_mole_fractions_box8,Semihemispheric_modelled_mole_fractions_box9,Semihemispheric_modelled_mole_fractions_box10,Semihemispheric_modelled_mole_fractions_box11,Semihemispheric_modelled_mole_fractions_1-sigma_box0,Semihemispheric_modelled_mole_fractions_1-sigma_box1,Semihemispheric_modelled_mole_fractions_1-sigma_box2,Semihemispheric_modelled_mole_fractions_1-sigma_box3
1992,5,1992.33,1808933.2246752111,1762375.2340888607,1698623.8572096713,1699831.8591004878,1786090.0227947328,1757575.8173877166,1692547.7231654665,1692304.8949904118,1625849.735678782,1614767.8709495359,1604894.8658631218,1604390.175671876,8779.595433763168,8523.867418153626,8215.01227515141,8231.293891686075
1992,6,1992.42,1801413.564622504,1762203.6399095217,1704147.824045096,1708539.2312298776,1782495.8223575728,1757366.0448023654,1697404.1719266418,1699505.8048063247,1623126.8984086583,1613581.9026409173,1605224.7163965818,1606150.2839322987,8779.74978842386,8547.602859580966,8243.436157075072,8280.011310305728
1992,7,1992.5,1796615.4184833688,1757890.7835390156,1705006.182277011,1712451.481722719,1779884.0691763356,1752388.6218254103,1714175.4700931818,1709911.3768417481,1620367.4449590414,1612395.8565528295,1605954.5054388063,1608055.9229228268,8722.546073192487,8523.880175997374,8250.840763375068,8289.932885234983
1992,8,1992.58,1798284.4464478998,1752555.5309704242,1706868.5306242472,1715673.719320892,1779858.2615437917,1745501.642713484,1721611.382295046,1717790.4048901615,1618336.872388186,1611279.9995543505,1606775.0751903665,1609767.9908144032,8734.125247806587,8551.67537798916,8272.07632368457,8299.441177959387
1992,9,1992.67,1806177.9500828884,1750986.5318127342,1706102.5375361627,1717870.2453243344,1783355.3478584806,1742308.9406045321,1722128.565811272,1720490.0276835742,1617448.1932806876,1610431.871326845,1607135.9990369114,1610737.5100499105,8832.236008892083,8615.017151013075,8281.986471757251,8312.706342047048
1992,10,1992.75,1817475.8145628541,1761172.0656557602,1709813.4192960756,1715815.740463265,1788462.8310003153,1752945.906665881,1715063.7057758973,1717017.6938213198,1617889.9647517118,1610205.5631823512,1606909.814701863,1610589.2298212694,8839.500634076045,8597.87743918821,8276.065729004342,8296.366691798565
1992,11,1992.83,1830258.5561353348,1779585.371314052,1712369.4663351243,1710073.21867256,1799173.8256750256,1770446.8649251172,1713445.0080934933,1711198.0184990685,1619493.4520409831,1610969.8274743254,1606385.129231074,1609144.1692509123,8883.121131901342,8642.159380399766,8280.26144500747,8260.131939349363
1992,12,1992.92,1845516.8388722087,1798145.7031816747,1711839.103531536,1703174.3549559826,1814126.0934580704,1788321.7026260581,1714334.9774784008,1706300.976938565,1622028.191862236,1612612.9457190367,1605970.700473371,1606954.444769926,8992.503278842118,8739.729097656525,8282.281891077511,8219.562836025103
1993,1,1993.0,1845228.794131701,1799132.1518522287,1711220.2938816405,1696789.6350641567,1819462.7646939426,1786250.5913521138,1708889.2760011381,1695643.992129981,1624934.050366475,1614431.5913345383,1605608.8399615795,1604668.17377293,8958.221081306681,8694.786616334124,8274.395311866669,8183.209092240466
1993,2,1993.08,1831903.6904085285,1783024.5151679628,1708059.2885681058,1690241.4774405798,1808342.8612249773,1772805.6448407674,1702963.3658931663,1686271.8320476057,1627070.4682095014,1615455.4901497252,1605077.2473561277,1602707.2384037375,8911.911989019554,8607.502821874616,8294.861796503425,8158.167915583725
